#    N 	        NAME	       S[cm]	       BetaX	       AlfaX	       BetaY	       AlfaY	        DspX	       DspXp	        DspY	       DspYp	         NuX	         NuY	  Energy[MeV]
   198	    qMQ1L09B	     6779.82	     1924.74	    -5.14028	     2154.86	     5.85214	           0	           0	           0	           0	    0.537189	    0.562462	      859.489
   199	       oD106	     6789.82	     2028.97	    -5.28275	     2039.45	     5.68857	           0	           0	           0	           0	    0.537995	    0.563221	      859.489
   200	    qMQ1L09C	     6799.82	        2080	    0.225314	     1980.69	    0.240225	           0	           0	           0	           0	    0.538766	    0.564016	      859.489
   201	       oD105	     6801.67	     2079.17	     0.22438	      1979.8	    0.239238	           0	           0	           0	           0	    0.538907	    0.564165	      859.489
   202	       oD107	     6882.58	     2046.17	    0.183507	     1944.59	    0.196031	           0	           0	           0	           0	    0.545152	    0.570729	      859.489
   203	       aR191	     6932.58	     2029.07	    0.158533	     1926.31	    0.169602	           0	           0	           0	           0	    0.549058	    0.574842	      863.239
   204	       oD108	     6957.58	     2021.45	    0.145903	     1918.16	    0.156251	           0	           0	           0	           0	    0.551023	    0.576912	      863.239
   205	       aR192	     7007.58	     2008.11	    0.120922	     1903.86	    0.129813	           0	           0	           0	           0	    0.554973	    0.581076	      866.989
   206	       oD109	     7073.64	     1994.34	   0.0875443	     1889.04	   0.0945305	           0	           0	           0	           0	    0.560227	    0.586621	      866.989
   207	       aR193	     7123.64	     1986.84	   0.0625561	      1880.9	   0.0680857	           0	           0	           0	           0	    0.564225	    0.590843	      870.739
   208	       oD108	     7148.64	     1984.02	    0.049924	     1877.83	   0.0547326	           0	           0	           0	           0	     0.56623	    0.592961	      870.739
   209	       aR194	     7198.64	     1980.28	   0.0249316	     1873.68	   0.0282834	           0	           0	           0	           0	    0.570245	    0.597204	      874.489
   210	       oD109	     7264.70	     1979.19	 -0.00844805	     1872.28	 -0.00700153	           0	           0	           0	           0	    0.575556	    0.602818	      874.489
   211	       aR195	     7314.70	     1981.29	  -0.0334432	      1874.3	  -0.0334534	           0	           0	           0	           0	    0.579575	    0.607067	      878.239
   212	       oD108	     7339.70	     1983.28	  -0.0460754	     1876.31	  -0.0468066	           0	           0	           0	           0	    0.581583	    0.609188	      878.239
   213	       aR196	     7389.70	     1989.13	  -0.0710715	     1882.31	  -0.0732593	           0	           0	           0	           0	     0.58559	    0.613423	      881.989
   214	       oD109	     7455.76	     2000.73	    -0.10445	     1894.32	   -0.108543	           0	           0	           0	           0	    0.590861	    0.618992	      881.989
   215	       aR197	     7505.76	     2012.42	   -0.129444	      1906.5	   -0.134994	           0	           0	           0	           0	    0.594827	     0.62318	      885.739
   216	       oD108	     7530.76	     2019.21	   -0.142075	     1913.58	   -0.148346	           0	           0	           0	           0	    0.596801	    0.625263	      885.739
   217	       aR198	     7580.76	     2034.67	   -0.167067	     1929.74	   -0.174794	           0	           0	           0	           0	    0.600727	    0.629405	      889.489
   218	       oD117	     7646.27	     2058.72	   -0.200162	     1954.93	   -0.209778	           0	           0	           0	           0	    0.605822	    0.634774	      889.489
   219	    iITV1L10	     7646.27	     2058.72	   -0.200162	     1954.93	   -0.209778	           0	           0	           0	           0	    0.605822	    0.634774	      889.489
   220	       oD118	     7658.03	      2063.5	   -0.206103	     1959.94	   -0.216058	           0	           0	           0	           0	     0.60673	     0.63573	      889.489
   221	   kMAT1L10H	     7658.03	      2063.5	   -0.206103	     1959.94	   -0.216058	           0	           0	           0	           0	     0.60673	     0.63573	      889.489
   222	       oD112	     7697.98	     2080.77	   -0.226284	     1978.05	   -0.237391	           0	           0	           0	           0	    0.609799	    0.638959	      889.489
   223	    iIPM1L10	     7697.98	     2080.77	   -0.226284	     1978.05	   -0.237391	           0	           0	           0	           0	    0.609799	    0.638959	      889.489
   224	       oD105	     7699.82	     2081.61	   -0.227217	     1978.93	   -0.238377	           0	           0	           0	           0	     0.60994	    0.639108	      889.489
   225	    qMQ1L10A	     7709.82	      2030.2	     5.32226	     2037.98	    -5.71965	           0	           0	           0	           0	    0.610711	    0.639904	      889.489
   226	       oD106	     7719.82	      1925.2	     5.17781	     2154.03	    -5.88508	           0	           0	           0	           0	    0.611516	    0.640664	      889.489
   227	    qMQ1L10B	     7739.82	     1924.46	    -5.13971	     2154.72	     5.85154	           0	           0	           0	           0	    0.613199	    0.642115	      889.489
   228	       oD106	     7749.82	     2028.68	    -5.28217	     2039.33	     5.68799	           0	           0	           0	           0	    0.614005	    0.642874	      889.489
   229	    qMQ1L10C	     7759.82	     2079.71	    0.225108	     1980.57	    0.239978	           0	           0	           0	           0	    0.614776	    0.643669	      889.489
   230	       oD105	     7761.67	     2078.88	    0.224175	     1979.69	    0.238992	           0	           0	           0	           0	    0.614918	    0.643818	      889.489
   231	       oD107	     7842.58	     2045.91	    0.183299	     1944.51	    0.195787	           0	           0	           0	           0	    0.621163	    0.650383	      889.489
   232	       aR1A1	     7892.58	     2028.83	    0.158305	     1926.25	    0.169341	           0	           0	           0	           0	     0.62507	    0.654495	      893.239
   233	       oD108	     7917.58	     2021.23	    0.145674	     1918.12	    0.155991	           0	           0	           0	           0	    0.627035	    0.656565	      893.239
   234	       aR1A2	     7967.58	     2007.91	    0.120674	     1903.84	    0.129537	           0	           0	           0	           0	    0.630985	     0.66073	      896.989
   235	       oD109	     8033.64	     1994.17	   0.0872946	     1889.06	    0.094257	           0	           0	           0	           0	     0.63624	    0.666275	      896.989
   236	       aR1A3	     8083.64	      1986.7	   0.0622873	     1880.96	   0.0677968	           0	           0	           0	           0	    0.640239	    0.670497	      900.739
   237	       oD108	     8108.64	      1983.9	   0.0496548	      1877.9	   0.0544446	           0	           0	           0	           0	    0.642243	    0.672614	      900.739
   238	       aR1A4	     8158.64	     1980.18	   0.0246436	     1873.78	   0.0279805	           0	           0	           0	           0	    0.646258	    0.676857	      904.489
   239	       oD109	     8224.70	     1979.13	  -0.0087372	     1872.41	 -0.00730205	           0	           0	           0	           0	     0.65157	    0.682471	      904.489
   240	       aR1A5	     8274.70	     1981.26	  -0.0337508	     1874.47	  -0.0337686	           0	           0	           0	           0	    0.655589	    0.686719	      908.239
   241	       oD108	     8299.70	     1983.26	  -0.0463835	     1876.49	  -0.0471209	           0	           0	           0	           0	    0.657597	    0.688841	      908.239
   242	       aR1A6	     8349.70	     1989.15	  -0.0713979	     1882.53	  -0.0735882	           0	           0	           0	           0	    0.661603	    0.693075	      911.989
   243	       oD109	     8415.76	     2000.79	   -0.104777	     1894.58	   -0.108869	           0	           0	           0	           0	    0.666875	    0.698644	      911.989
   244	       aR1A7	     8465.76	     2012.51	    -0.12979	     1906.79	   -0.135335	           0	           0	           0	           0	    0.670841	    0.702831	      915.739
   245	       oD108	     8490.76	     2019.32	   -0.142422	     1913.89	   -0.148686	           0	           0	           0	           0	    0.672814	    0.704914	      915.739
   246	       aR1A8	     8540.76	     2034.81	   -0.167432	     1930.08	   -0.175149	           0	           0	           0	           0	    0.676741	    0.709055	      919.489
   247	       oD116	     8640.00	     2073.02	   -0.217571	      1970.1	   -0.228144	           0	           0	           0	           0	    0.684434	    0.717158	      919.489
   248	   kMAT1L11V	     8640.00	     2073.02	   -0.217571	      1970.1	   -0.228144	           0	           0	           0	           0	    0.684434	    0.717158	      919.489
   249	       oD104	     8657.98	     2081.01	   -0.226652	     1978.48	   -0.237743	           0	           0	           0	           0	    0.685811	    0.718607	      919.489
   250	    iIPM1L11	     8657.98	     2081.01	   -0.226652	     1978.48	   -0.237743	           0	           0	           0	           0	    0.685811	    0.718607	      919.489
   251	       oD105	     8659.82	     2081.84	   -0.227586	     1979.36	   -0.238729	           0	           0	           0	           0	    0.685953	    0.718756	      919.489
   252	    qMQ1L11A	     8669.82	     2030.43	     5.32253	     2038.43	    -5.72121	           0	           0	           0	           0	    0.686723	    0.719552	      919.489
   253	       oD106	     8679.82	     1925.42	     5.17808	      2154.5	    -5.88669	           0	           0	           0	           0	    0.687528	    0.720311	      919.489
   254	    qMQ1L11B	     8699.82	      1924.7	    -5.14069	     2155.21	     5.85258	           0	           0	           0	           0	    0.689212	    0.721762	      919.489
   255	       oD106	     8709.82	     2028.94	    -5.28319	      2039.8	     5.68901	           0	           0	           0	           0	    0.690017	    0.722521	      919.489
   256	    qMQ1L11C	     8719.82	     2079.98	    0.224802	     1981.04	    0.239747	           0	           0	           0	           0	    0.690788	    0.723316	      919.489
   257	       oD105	     8721.67	     2079.15	    0.223869	     1980.15	    0.238761	           0	           0	           0	           0	     0.69093	    0.723465	      919.489
   258	       oD107	     8802.58	     2046.23	    0.183004	     1945.01	    0.195571	           0	           0	           0	           0	    0.697174	    0.730028	      919.489
   259	       aR1B1	     8852.58	     2029.18	       0.158	     1926.78	    0.169118	           0	           0	           0	           0	     0.70108	    0.734139	      923.239
   260	       oD108	     8877.58	      2021.6	    0.145372	     1918.65	    0.155772	           0	           0	           0	           0	    0.703045	    0.736209	      923.239
   261	       aR1B2	     8927.58	     2008.31	    0.120362	      1904.4	    0.129312	           0	           0	           0	           0	    0.706994	    0.740372	      926.989
   262	       oD109	     8993.64	     1994.62	    0.086992	     1889.64	   0.0940437	           0	           0	           0	           0	    0.712248	    0.745916	      926.989
   263	       aR1B3	     9043.64	     1987.17	   0.0619754	     1881.56	   0.0675775	           0	           0	           0	           0	    0.716246	    0.750136	      930.739
   264	       oD108	     9068.64	     1984.38	   0.0493464	     1878.52	     0.05423	           0	           0	           0	           0	     0.71825	    0.752253	      930.739
   265	       aR1B4	     9118.64	      1980.7	   0.0243262	     1874.42	   0.0277601	           0	           0	           0	           0	    0.722264	    0.756494	      934.489
   266	       oD109	     9184.70	     1979.69	  -0.0090454	     1873.08	 -0.00751001	           0	           0	           0	           0	    0.727574	    0.762106	      934.489
   267	       aR1B5	     9234.70	     1981.85	  -0.0340678	     1875.16	  -0.0339821	           0	           0	           0	           0	    0.731592	    0.766353	      938.239
   268	       oD108	     9259.70	     1983.87	  -0.0466969	     1877.19	  -0.0473297	           0	           0	           0	           0	    0.733599	    0.768474	      938.239
   269	       aR1B6	     9309.70	     1989.79	    -0.07172	     1883.25	  -0.0738024	           0	           0	           0	           0	    0.737605	    0.772707	      941.989
   270	       oD109	     9375.76	     2001.47	    -0.10509	     1895.33	   -0.109071	           0	           0	           0	           0	    0.742874	    0.778273	      941.989
   271	       aR1B7	     9425.76	     2013.23	   -0.130112	     1907.56	   -0.135542	           0	           0	           0	           0	    0.746839	    0.782458	      945.739
   272	       oD108	     9450.76	     2020.05	    -0.14274	     1914.67	   -0.148889	           0	           0	           0	           0	    0.748812	     0.78454	      945.739
   273	       aR1B8	     9500.76	     2035.57	   -0.167759	     1930.88	   -0.175357	           0	           0	           0	           0	    0.752737	     0.78868	      949.489
   274	       oD115	     9578.03	     2064.51	   -0.206786	     1961.17	   -0.216605	           0	           0	           0	           0	    0.758737	    0.795001	      949.489
   275	   kMAT1L12H	     9578.03	     2064.51	   -0.206786	     1961.17	   -0.216605	           0	           0	           0	           0	    0.758737	    0.795001	      949.489
   276	       oD112	     9617.98	     2081.84	   -0.226963	     1979.32	   -0.237929	           0	           0	           0	           0	    0.761804	    0.798228	      949.489
   277	    iIPM1L12	     9617.98	     2081.84	   -0.226963	     1979.32	   -0.237929	           0	           0	           0	           0	    0.761804	    0.798228	      949.489
   278	       oD105	     9619.82	     2082.68	   -0.227896	      1980.2	   -0.238915	           0	           0	           0	           0	    0.761945	    0.798376	      949.489
   279	    qMQ1L12A	     9629.82	     2031.25	     5.32446	      2039.3	    -5.72373	           0	           0	           0	           0	    0.762715	    0.799172	      949.489
   280	       oD106	     9639.82	     1926.21	     5.17997	     2155.43	    -5.88929	           0	           0	           0	           0	     0.76352	    0.799931	      949.489
   281	    qMQ1L12B	     9659.82	     1925.49	      -5.143	     2156.14	     5.85502	           0	           0	           0	           0	    0.765203	    0.801381	      949.489
   282	       oD106	     9669.82	     2029.78	    -5.28557	     2040.67	     5.69139	           0	           0	           0	           0	    0.766008	     0.80214	      949.489
   283	    qMQ1L12C	     9679.82	     2080.85	    0.224701	     1981.89	    0.239791	           0	           0	           0	           0	    0.766779	    0.802935	      949.489
   284	       oD105	     9681.67	     2080.02	    0.223768	        1981	    0.238805	           0	           0	           0	           0	     0.76692	    0.803083	      949.489
   285	       oD107	     9762.58	     2047.11	    0.182922	     1945.85	    0.195633	           0	           0	           0	           0	    0.773162	    0.809644	      949.489
   286	       aR1C1	     9812.58	     2030.07	    0.157914	     1927.61	    0.169176	           0	           0	           0	           0	    0.777066	    0.813753	      953.239
   287	       oD108	     9837.58	     2022.49	    0.145292	     1919.49	    0.155836	           0	           0	           0	           0	     0.77903	    0.815822	      953.239
   288	       aR1C2	     9887.58	     2009.21	    0.120279	     1905.23	    0.129373	           0	           0	           0	           0	    0.782978	    0.819984	      956.989
   289	       oD109	     9953.64	     1995.52	   0.0869243	     1890.46	   0.0941192	           0	           0	           0	           0	     0.78823	    0.825525	      956.989
   290	       aR1C3	    10003.64	     1988.08	   0.0619048	     1882.38	   0.0676503	           0	           0	           0	           0	    0.792225	    0.829744	      960.739
   291	       oD108	    10028.64	      1985.3	   0.0492817	     1879.33	   0.0543084	           0	           0	           0	           0	    0.794228	    0.831859	      960.739
   292	       aR1C4	    10078.64	     1981.62	   0.0242588	     1875.22	   0.0278361	           0	           0	           0	           0	     0.79824	    0.836099	      964.489
   293	       oD109	    10144.70	     1980.62	 -0.00909709	     1873.87	 -0.00741909	           0	           0	           0	           0	    0.803548	    0.841708	      964.489
   294	       aR1C5	    10194.70	     1982.78	   -0.034122	     1875.94	  -0.0338934	           0	           0	           0	           0	    0.807564	    0.845953	      968.239
   295	       oD108	    10219.70	     1984.81	  -0.0467452	     1877.97	  -0.0472354	           0	           0	           0	           0	     0.80957	    0.848073	      968.239
   296	       aR1C6	    10269.70	     1990.73	  -0.0717706	     1884.01	  -0.0737103	           0	           0	           0	           0	    0.813574	    0.852304	      971.989
   297	       oD109	    10335.76	     2002.42	   -0.105125	     1896.08	   -0.108964	           0	           0	           0	           0	    0.818841	    0.857868	      971.989
   298	       aR1C7	    10385.76	     2014.18	   -0.130149	      1908.3	   -0.135437	           0	           0	           0	           0	    0.822804	    0.862052	      975.739
   299	       oD108	    10410.76	        2021	   -0.142771	     1915.41	   -0.148778	           0	           0	           0	           0	    0.824776	    0.864133	      975.739
   300	       aR1C8	    10460.76	     2036.53	   -0.167793	     1931.61	   -0.175249	           0	           0	           0	           0	    0.828699	    0.868271	      979.489
   301	       oD110	    10560.00	     2074.81	   -0.217895	     1971.65	   -0.228203	           0	           0	           0	           0	    0.836385	    0.876368	      979.489
   302	   kMAT1L13V	    10560.00	     2074.81	   -0.217895	     1971.65	   -0.228203	           0	           0	           0	           0	    0.836385	    0.876368	      979.489
   303	       oD104	    10577.98	      2082.8	    -0.22697	     1980.02	   -0.237795	           0	           0	           0	           0	    0.837762	    0.877816	      979.489
   304	    iIPM1L13	    10577.98	      2082.8	    -0.22697	     1980.02	   -0.237795	           0	           0	           0	           0	    0.837762	    0.877816	      979.489
   305	       oD105	    10579.82	     2083.65	   -0.227902	      1980.9	   -0.238781	           0	           0	           0	           0	    0.837903	    0.877964	      979.489
   306	    qMQ1L13A	    10589.82	     2032.19	     5.32703	     2040.01	    -5.72552	           0	           0	           0	           0	    0.838673	     0.87876	      979.489
   307	       oD106	    10599.82	     1927.09	     5.18247	     2156.18	    -5.89111	           0	           0	           0	           0	    0.839477	    0.879518	      979.489
   308	    qMQ1L13B	    10619.82	     1926.37	    -5.14524	     2156.88	     5.85727	           0	           0	           0	           0	    0.841159	    0.880968	      979.489
   309	       oD106	    10629.82	     2030.71	    -5.28786	     2041.37	     5.69357	           0	           0	           0	           0	    0.841964	    0.881727	      979.489
   310	    qMQ1L13C	    10639.82	     2081.79	    0.224931	     1982.56	     0.24011	           0	           0	           0	           0	    0.842734	    0.882521	      979.489
   311	       oD105	    10641.67	     2080.96	    0.223998	     1981.68	    0.239125	           0	           0	           0	           0	    0.842876	     0.88267	      979.489
   312	       oD107	    10722.58	     2048.02	    0.183166	     1946.47	    0.195961	           0	           0	           0	           0	    0.849115	    0.889228	      979.489
   313	       aR1D1	    10772.58	     2030.95	    0.158154	      1928.2	    0.169496	           0	           0	           0	           0	    0.853017	    0.893336	      983.239
   314	       oD108	    10797.58	     2023.36	    0.145536	     1920.06	    0.156158	           0	           0	           0	           0	     0.85498	    0.895404	      983.239
   315	       aR1D2	    10847.58	     2010.06	    0.120518	     1905.77	    0.129688	           0	           0	           0	           0	    0.858926	    0.899565	      986.989
   316	       oD109	    10913.64	     1996.34	    0.087176	     1890.96	   0.0944415	           0	           0	           0	           0	    0.864176	    0.905104	      986.989
   317	       aR1D3	    10963.64	     1988.87	   0.0621523	     1882.84	   0.0679652	           0	           0	           0	           0	     0.86817	    0.909322	      990.739
   318	       oD108	    10988.64	     1986.08	   0.0495338	     1879.78	   0.0546261	           0	           0	           0	           0	    0.870172	    0.911437	      990.739
   319	       aR1D4	    11038.64	     1982.38	    0.024507	     1875.64	   0.0281466	           0	           0	           0	           0	    0.874183	    0.915676	      994.489
   320	       oD109	    11104.70	     1981.34	  -0.0088366	     1874.25	 -0.00710127	           0	           0	           0	           0	    0.879489	    0.921284	      994.489
   321	       aR1D5	    11154.70	     1983.48	  -0.0338652	     1876.28	  -0.0335825	           0	           0	           0	           0	    0.883503	    0.925528	      998.239
   322	       oD108	    11179.70	     1985.49	  -0.0464838	     1878.29	  -0.0469218	           0	           0	           0	           0	    0.885508	    0.927648	      998.239
   323	       aR1D6	    11229.70	     1991.39	   -0.071513	     1884.31	  -0.0734035	           0	           0	           0	           0	    0.889511	    0.931878	      1001.99
   324	       oD109	    11295.76	     2003.04	   -0.104855	     1896.34	    -0.10865	           0	           0	           0	           0	    0.894776	    0.937441	      1001.99
   325	       aR1D7	    11345.76	     2014.78	   -0.129883	     1908.53	    -0.13513	           0	           0	           0	           0	    0.898738	    0.941625	      1005.74
   326	       oD108	    11370.76	     2021.59	   -0.142501	     1915.62	   -0.148469	           0	           0	           0	           0	    0.900709	    0.943706	      1005.74
   327	       aR1D8	    11420.76	     2037.09	   -0.167526	     1931.79	   -0.174946	           0	           0	           0	           0	    0.904631	    0.947843	      1009.49
   328	       oD119	    11486.27	      2061.2	   -0.200587	        1957	   -0.209895	           0	           0	           0	           0	     0.90972	    0.953206	      1009.49
   329	    iITV1L14	    11486.27	      2061.2	   -0.200587	        1957	   -0.209895	           0	           0	           0	           0	     0.90972	    0.953206	      1009.49
   330	       oD118	    11498.03	     2065.99	   -0.206522	     1962.01	   -0.216169	           0	           0	           0	           0	    0.910627	    0.954161	      1009.49
   331	   kMAT1L14H	    11498.03	     2065.99	   -0.206522	     1962.01	   -0.216169	           0	           0	           0	           0	    0.910627	    0.954161	      1009.49
   332	       oD112	    11537.98	     2083.29	   -0.226682	     1980.13	   -0.237481	           0	           0	           0	           0	    0.913692	    0.957387	      1009.49
   333	    iIPM1L14	    11537.98	     2083.29	   -0.226682	     1980.13	   -0.237481	           0	           0	           0	           0	    0.913692	    0.957387	      1009.49
   334	       oD105	    11539.82	     2084.13	   -0.227614	     1981.01	   -0.238466	           0	           0	           0	           0	    0.913833	    0.957535	      1009.49
   335	    qMQ1L14A	    11549.82	     2032.66	      5.3286	     2040.12	    -5.72548	           0	           0	           0	           0	    0.914603	    0.958331	      1009.49
   336	       oD106	    11559.82	     1927.53	     5.18399	     2156.28	    -5.89107	           0	           0	           0	           0	    0.915407	     0.95909	      1009.49
   337	    qMQ1L14B	    11579.82	      1926.8	    -5.14603	     2156.97	     5.85784	           0	           0	           0	           0	    0.917088	    0.960539	      1009.49
   338	       oD106	    11589.82	     2031.15	    -5.28865	     2041.45	     5.69412	           0	           0	           0	           0	    0.917893	    0.961298	      1009.49
   339	    qMQ1L14C	    11599.82	     2082.24	    0.225334	     1982.63	    0.240449	           0	           0	           0	           0	    0.918663	    0.962092	      1009.49
   340	       oD105	    11601.67	     2081.41	    0.224401	     1981.75	    0.239463	           0	           0	           0	           0	    0.918804	    0.962241	      1009.49
   341	       oD107	    11682.58	      2048.4	    0.183571	     1946.49	    0.196294	           0	           0	           0	           0	    0.925042	    0.968799	      1009.49
   342	       aR1E1	    11732.58	     2031.29	    0.158547	     1928.18	    0.169814	           0	           0	           0	           0	    0.928944	    0.972907	      1013.24
   343	       oD108	    11757.58	     2023.68	     0.14593	     1920.03	    0.156475	           0	           0	           0	           0	    0.930907	    0.974975	      1013.24
   344	       aR1E2	    11807.58	     2010.34	      0.1209	      1905.7	    0.129989	           0	           0	           0	           0	    0.934852	    0.979136	      1016.99
   345	       oD109	    11873.64	     1996.57	   0.0875595	     1890.86	    0.094739	           0	           0	           0	           0	    0.940101	    0.984675	      1016.99
   346	       aR1E3	    11923.64	     1989.06	   0.0625247	     1882.71	   0.0682481	           0	           0	           0	           0	    0.944095	    0.988893	      1020.74
   347	       oD108	    11948.64	     1986.25	   0.0499068	     1879.63	   0.0549075	           0	           0	           0	           0	    0.946097	    0.991009	      1020.74
   348	       aR1E4	    11998.64	     1982.51	   0.0248692	     1875.46	   0.0284137	           0	           0	           0	           0	    0.950107	    0.995248	      1024.49
   349	       oD109	    12064.70	     1981.43	 -0.00847276	     1874.04	 -0.00683809	           0	           0	           0	           0	    0.955413	     1.00086	      1024.49
   350	       aR1E5	    12114.70	     1983.53	  -0.0335121	     1876.05	  -0.0333336	           0	           0	           0	           0	    0.959427	      1.0051	      1028.24
   351	       oD108	    12139.70	     1985.52	  -0.0461301	     1878.05	  -0.0466744	           0	           0	           0	           0	    0.961432	     1.00722	      1028.24
   352	       aR1E6	    12189.70	     1991.39	  -0.0711699	     1884.04	  -0.0731703	           0	           0	           0	           0	    0.965435	     1.01145	      1031.99
   353	       oD109	    12255.76	     2002.99	   -0.104511	     1896.03	   -0.108421	           0	           0	           0	           0	      0.9707	     1.01702	      1031.99
   354	       aR1E7	    12305.76	     2014.69	   -0.129549	      1908.2	   -0.134915	           0	           0	           0	           0	    0.974662	      1.0212	      1035.74
   355	       oD108	    12330.76	     2021.49	   -0.142166	     1915.28	   -0.148255	           0	           0	           0	           0	    0.976633	     1.02328	      1035.74
   356	       aR1E8	    12380.76	     2036.96	   -0.167203	     1931.43	   -0.174747	           0	           0	           0	           0	    0.980555	     1.02742	      1039.49
   357	       oD110	    12480.00	     2075.11	   -0.217284	     1971.37	   -0.227697	           0	           0	           0	           0	    0.988241	     1.03552	      1039.49
   358	   kMAT1L15V	    12480.00	     2075.11	   -0.217284	     1971.37	   -0.227697	           0	           0	           0	           0	    0.988241	     1.03552	      1039.49
   359	       oD104	    12497.98	     2083.09	   -0.226356	     1979.73	   -0.237288	           0	           0	           0	           0	    0.989617	     1.03697	      1039.49
   360	    iIPM1L15	    12497.98	     2083.09	   -0.226356	     1979.73	   -0.237288	           0	           0	           0	           0	    0.989617	     1.03697	      1039.49
   361	       oD105	    12499.82	     2083.93	   -0.227288	     1980.61	   -0.238274	           0	           0	           0	           0	    0.989758	     1.03711	      1039.49
   362	    qMQ1L15A	    12509.82	     2032.45	     5.32836	      2039.7	    -5.72417	           0	           0	           0	           0	    0.990528	     1.03791	      1039.49
   363	       oD106	    12519.82	     1927.33	     5.18374	     2155.84	    -5.88971	           0	           0	           0	           0	    0.991332	     1.03867	      1039.49
   364	    qMQ1L15B	    12539.82	     1926.58	    -5.14515	     2156.52	     5.85676	           0	           0	           0	           0	    0.993014	     1.04012	      1039.49
   365	       oD106	    12549.82	     2030.91	    -5.28775	     2041.02	     5.69306	           0	           0	           0	           0	    0.993818	     1.04088	      1039.49
   366	    qMQ1L15C	    12559.82	     2081.99	    0.225604	     1982.21	     0.24053	           0	           0	           0	           0	    0.994589	     1.04167	      1039.49
   367	       oD105	    12561.67	     2081.16	    0.224672	     1981.33	    0.239544	           0	           0	           0	           0	     0.99473	     1.04182	      1039.49
   368	       oD107	    12642.58	     2048.11	    0.183832	     1946.06	    0.196364	           0	           0	           0	           0	     1.00097	     1.04838	      1039.49
   369	       aR1F1	    12692.58	     2030.98	     0.15879	     1927.75	    0.169866	           0	           0	           0	           0	     1.00487	     1.05249	      1043.24
   370	       oD108	    12717.58	     2023.35	     0.14617	     1919.59	    0.156524	           0	           0	           0	           0	     1.00683	     1.05456	      1043.24
   371	       aR1F2	    12767.58	     2009.99	    0.121123	     1905.26	     0.13002	           0	           0	           0	           0	     1.01078	     1.05872	      1046.99
   372	       oD109	    12833.64	     1996.19	   0.0877748	     1890.41	   0.0947618	           0	           0	           0	           0	     1.01603	     1.06426	      1046.99
   373	       aR1F3	    12883.64	     1988.66	   0.0627229	     1882.26	   0.0682538	           0	           0	           0	           0	     1.02002	     1.06848	      1050.74
   374	       oD108	    12908.64	     1985.84	   0.0501022	     1879.18	     0.05491	           0	           0	           0	           0	     1.02203	     1.07059	      1050.74
   375	       aR1F4	    12958.64	     1982.09	   0.0250477	     1875.01	   0.0283992	           0	           0	           0	           0	     1.02604	     1.07483	      1054.49
   376	       oD109	    13024.70	     1980.98	 -0.00830177	     1873.59	 -0.00686097	           0	           0	           0	           0	     1.03135	     1.08045	      1054.49
   377	       aR1F5	    13074.70	     1983.06	  -0.0333579	      1875.6	  -0.0333734	           0	           0	           0	           0	     1.03536	     1.08469	      1058.24
   378	       oD108	    13099.70	     1985.05	  -0.0459787	     1877.61	  -0.0467172	           0	           0	           0	           0	     1.03737	     1.08681	      1058.24
   379	       aR1F6	    13149.70	      1990.9	  -0.0710352	      1883.6	  -0.0732299	           0	           0	           0	           0	     1.04137	     1.09104	      1061.99
   380	       oD109	    13215.76	     2002.48	   -0.104384	     1895.61	   -0.108489	           0	           0	           0	           0	     1.04664	     1.09661	      1061.99
   381	       aR1F7	    13265.76	     2014.18	   -0.129439	     1907.78	      -0.135	           0	           0	           0	           0	      1.0506	     1.10079	      1065.74
   382	       oD108	    13290.76	     2020.96	   -0.142059	     1914.86	   -0.148343	           0	           0	           0	           0	     1.05257	     1.10287	      1065.74
   383	       aR1F8	    13340.76	     2036.42	   -0.167112	     1931.02	   -0.174852	           0	           0	           0	           0	     1.05649	     1.10701	      1069.49
   384	       oD111	    13418.03	     2065.26	   -0.206115	     1961.23	    -0.21609	           0	           0	           0	           0	     1.06249	     1.11333	      1069.49
   385	   kMAT1L16H	    13418.03	     2065.26	   -0.206115	     1961.23	    -0.21609	           0	           0	           0	           0	     1.06249	     1.11333	      1069.49
   386	       oD112	    13457.98	     2082.53	   -0.226279	     1979.35	   -0.237409	           0	           0	           0	           0	     1.06556	     1.11656	      1069.49
   387	    iIPM1L16	    13457.98	     2082.53	   -0.226279	     1979.35	   -0.237409	           0	           0	           0	           0	     1.06556	     1.11656	      1069.49
   388	       oD105	    13459.82	     2083.37	   -0.227212	     1980.23	   -0.238395	           0	           0	           0	           0	      1.0657	     1.11671	      1069.49
   389	    qMQ1L16A	    13469.82	     2031.91	     5.32695	     2039.31	    -5.72325	           0	           0	           0	           0	     1.06647	     1.11751	      1069.49
   390	       oD106	    13479.82	     1926.81	     5.18238	     2155.43	    -5.88877	           0	           0	           0	           0	     1.06727	     1.11826	      1069.49
   391	    qMQ1L16B	    13499.82	     1926.07	    -5.14377	     2156.12	      5.8555	           0	           0	           0	           0	     1.06896	     1.11972	      1069.49
   392	       oD106	    13509.82	     2030.37	    -5.28634	     2040.65	     5.69184	           0	           0	           0	           0	     1.06976	     1.12047	      1069.49
   393	    qMQ1L16C	    13519.82	     2081.44	    0.225544	     1981.85	    0.240309	           0	           0	           0	           0	     1.07053	     1.12127	      1069.49
   394	       oD105	    13521.67	     2080.61	    0.224611	     1980.97	    0.239323	           0	           0	           0	           0	     1.07067	     1.12142	      1069.49
